label,url_length,num_dots,num_hyphen,num_slashes,https,subdomains,has_at_symbol,has_double_slash,has_ip,num_underscores,num_percent,num_digits,num_query_params,has_query,path_depth,suspicious_tld,brand_in_url,is_shortened,suspicious_word_count,url_entropy,hostname_length,digit_letter_ratio,num_special_chars,tld_in_path,longest_digit_run,uses_free_hosting,brand_on_free_hosting,brand_domain_mismatch,text_length,token_count,scam_keyword_count,scam_keyword_density,exclamation_count,caps_ratio,avg_word_length
1,175,2,3,7,1,1,0,0,0,4,0,20,3,1,5,0,1,0,0,5.6281,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,32,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9917,13,0.0,0,0,0,0,0,0,193,18,0,0.0,0,0.0186,7.278
0,30,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8696,12,0.0,0,0,0,0,0,0,145,15,0,0.0,0,0.0252,6.533
0,22,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6292,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,28,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8424,13,0.0,0,0,0,0,0,0,186,19,0,0.0,0,0.0133,6.842
1,44,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.0212,35,0.0,0,0,0,1,1,1,0,0,0,0.0,0,0.0,0.0
1,45,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4.0475,25,0.0,0,0,0,0,0,0,240,24,2,0.083333,0,0.0567,6.375
1,173,2,1,7,1,1,0,0,0,3,0,16,3,1,5,0,1,0,0,5.6225,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,22,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7888,9,0.0,0,0,0,0,0,0,164,19,0,0.0,0,0.0294,6.263
0,32,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3.8514,13,0.0,0,0,0,0,0,1,146,15,0,0.0,0,0.025,6.6
0,23,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5014,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,27,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9303,18,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,24,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8554,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,50,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.086,41,0.0,0,0,0,1,1,1,0,0,0,0.0,0,0.0,0.0
0,39,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3.9966,14,0.0,0,0,0,0,0,0,177,20,0,0.0,0,0.0284,6.05
0,42,1,1,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,4.2704,12,0.0,0,0,0,0,0,0,130,16,0,0.0,0,0.0294,5.438
0,22,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4251,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,35,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1614,26,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,131,2,1,7,1,1,0,0,0,2,0,14,0,0,5,0,1,0,0,5.4995,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,25,2,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7835,10,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,32,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0695,24,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
